customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,age,address,postcode,state,country,property_valuation
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,Yes,11,69,060 Morning Avenue,2016,NSW,Australia,10
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,Yes,16,42,6 Meadow Vale Court,2153,NSW,Australia,10
4,Talbot,Talbot,Male,33,1961-10-03,Legal Assistant,IT,Mass Customer,No,7,61,0 Holy Cross Court,4211,QLD,Australia,9
5,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,Retail,Affluent Customer,Yes,8,46,17979 Del Mar Point,2448,NSW,Australia,4
6,Curr,Duckhouse,Male,35,1966-09-16,Director of Sales,Retail,High Net Worth,Yes,13,56,9 Oakridge Court,3216,VIC,Australia,9
7,Fina,Merali,Female,6,1976-02-23,Administrative Officer,Financial Services,Affluent Customer,Yes,11,47,4 Delaware Trail,2210,NSW,Australia,9
8,Rod,Inder,Male,31,1962-03-30,Media Manager I,Retail,Mass Customer,No,7,61,49 Londonderry Lane,2650,NSW,Australia,4
9,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,50,97736 7th Trail,2023,NSW,Australia,12
11,Uriah,Bisatt,Male,99,1954-04-30,Recruiting Manager,Property,Mass Customer,No,9,69,93405 Ludington Park,3044,VIC,Australia,8
12,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,28,44339 Golden Leaf Alley,4557,QLD,Australia,4
13,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,Yes,8,68,2 Sutherland Street,3799,VIC,Australia,6
14,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,No,6,40,9 Mcbride Trail,2760,NSW,Australia,8
15,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,No,1,22,9861 New Castle Avenue,2428,NSW,Australia,9
16,Harlin,Parr,Male,38,1977-02-27,Media Manager IV,Financial Services,Mass Customer,Yes,18,46,52 Moland Street,3331,VIC,Australia,4
